PERMIT_TYPE	APP_ID	WDID	STATUS	NOI_PROCESSED_DATE	NOT_EFFECTIVE_DATE	REGION_BOARD	COUNTY	OPERATOR_NAME	FACILITY_NAME	FACILITY_ADDRESS	FACILITY_ADDRESS_2	FACILITY_CITY	FACILITY_STATE	FACILITY_ZIP	FACILITY_LATITUDE	FACILITY_LONGITUDE	FACILITY_COUNTY	FACILITY_CONTACT_FIRST_NAME	FACILITY_CONTACT_LAST_NAME	FACILITY_TITLE	FACILITY_PHONE	FACILITY_EMAIL	FACILITY_TOTAL_SIZE	FACILITY_TOTAL_SIZE_UNIT	FACILITY_AREA_ACTIVITY	FACILITY_AREA_ACTIVITY_UNIT	PERCENT_OF_SITE_IMPERVIOUSNESS	PRIMARY_SIC	SECONDARY_SIC	TERTIARY_SIC	RECEIVING_WATER_NAME	INDIRECTLY	DIRECTLY	CERTIFIER_BY	CERTIFIER_TITLE	CERTIFICATION_DATE	QUESTION_TMDL_ANSWER
Industrial	180603	2 01I000111	Terminated	02/20/1992	12/10/1999	2	Alameda	Sealand Services 	Sealand Services 	1425 Maritime St Ste 1		Oakland	CA	94607	37.81894	-122.30432	Alameda						53	Acres		 		4412-Deep Sea Foreign Transportation of  Freight	4424-Deep Sea Domestic Transportation of Freight		Port Of Oakland						 
Industrial	180604	2 01I000201	Terminated	03/02/1992	11/30/2017	2	Alameda	Associated Aerospace Activities	Associated Aerospace Activities	2502 Williams St		San Leandro	CA	94577	37.70608	-122.18755	Alameda	Bill	Hunt	Environmental / QC Specialist	510-483-9020	bill.hunt@aaai.com 	77604	SqFt	0	Sqft	30	3721-Aircraft	3469-Metal Stamping, NEC		San Francisco Bay	N	Y	Naomi Tinsley	Purchasing Manager	16-JUN-17 07.34.05.082000 AM	 
Industrial	180605	2 01I000328	Terminated	03/11/1992	07/01/2002	2	Alameda	Rochester Midland Corp 	Rochester Midland 	1905 Dennison St		Oakland	CA	94606	37.77936	-122.24244	Alameda	W	E Sulkowski		510-535-1900		15000	SqFt		 		2842-Speciality Cleaning, Polishing, and Sanitary Preparations	2879-Pesticides and Agricultural Chemicals, NEC		South San Francisco Bay						 
Industrial	180606	2 01I000388	Terminated	03/11/1992	10/07/2015	2	Alameda	Air Liquide America Speciality Gases LLC 	Air Liquide America Speciality Gases LLC	700 Decoto Rd		Union City	CA	94587	37.59706	-122.01799	Alameda	Chad	Beauchamp		510-429-4216	chad.beauchamp@airliquide.com	6	Acres	5	Acres	5	2813-Industrial Gases			Alameda Creek	Y	N	Chad Beauchamp	Plant Manager	11-AUG-15 11.05.28.226000 AM	 
Industrial	180607	2 01I000398	Terminated	03/11/1992	04/06/2001	2	Alameda	PQ Corp	Pq Corp 	801 Grayson St		Berkeley	CA	94710	37.85483	-122.29484	Alameda	Lance	Anderson		510-845-1048		4	Acres		 		2819-Industrial Inorganic Chemicals, NEC			Berkeley Aquatic Park						 
Industrial	180608	2 01I000420	Terminated	03/13/1992	05/14/2003	2	Alameda	Bert & Johnnies Auto Parts I	Bert & Johnnie S Auto Parts I 	2550 Davis St		San Leandro	CA	94577	37.71495	-122.19175	Alameda	RONALD	Blasquez		5105686700		3	Acres		 		5015-Motor Vehicle Parts, Used			San Francisco Bay						 
Industrial	180609	2 01I000434	Active	03/13/1992		2	Alameda	Oldcastle Infastructure Inc	Oldcastle Infrastructure	3786 Valley Ave	PO Box 727	Pleasanton	CA	94566	37.6754	-121.86299	Alameda	Ruben	Ortiz	Plant Manager	916-596-5188	ross.sakamoto@oldcastle.com	20	Acres	17	Acres	0	3272-Concrete Products, Except Block and Brick			Arroyo Del Valle	Y	N	Bryan Restrepo	Safety Technician	25-JUN-24 03.04.15.990000 PM	N
Industrial	180610	2 01I000442	Terminated	03/13/1992	10/31/2001	2		HUNT-WESSON, INC.	UNITED CAN CORPORATION	BURBANK & C ST., P.O. BOX 3457		Hayward	CA	94540				Camilo	Romero		415-881-4569		38	Acres		 	100	3411-Metal Cans			Sulfur Creek						 
Industrial	180612	2 01I000466	Terminated	03/13/1992	05/18/2005	2	Alameda	Dreyers Grand Ice Cream	Dreyer S Grand Ice Cream 	1250 Whipple Rd		Union City	CA	94587	37.60593	-122.0425	Alameda	David	Comer		510-477-3261		8	Acres		 		2024-Ice Cream and Frozen Desserts			San Francisco Bay						 
Industrial	180613	2 01I000474	Terminated	03/13/1992	06/06/2016	2	Alameda	Castco 	Castco 	667 Whitney St		San Leandro	CA	94577	37.72304	-122.19001	Alameda	Dan	Wettstein	Operations Manager	510-562-5711	dcastco@yahoo.com	80000	SqFt	20000	Sqft	96	3365-Aluminum Foundries			San Francisco Bay	Y	N	Earl Wettstein	Owner	14-AUG-15 10.15.18.331000 AM	 
Industrial	180614	2 01I000478	Terminated	03/13/1992	08/14/2003	2	Alameda	EKC Tech	Ekc Tech 	2520 Barrington Ct		Hayward	CA	94545	37.65555	-122.14058	Alameda	Joe	Bowditch		510-784-9105		5	Acres		 	15	2899-Chemicals and Chemical Preparations, NEC			San Francisco Bay	Y					 
Industrial	180615	2 01I000519	Terminated	03/16/1992	11/04/2004	2	Alameda	Maersk Pacific Ltd	Maersk Line Terminal 	909 Ferry St		Oakland	CA	94607	37.81145	-122.31733	Alameda	Gil	Currier		510-271-1098	oakapmtmnt@apmterminals.com	33	Acres		 		4412-Deep Sea Foreign Transportation of  Freight	4424-Deep Sea Domestic Transportation of Freight	4491-Marine Cargo Handling	San Francisco Bay						 
Industrial	180616	2 01I000548	Active	03/16/1992		2	Alameda	Hayward Unified School District	Hayward Unified School District	24400 Amador St		Hayward	CA	94544	37.65546	-122.09142	Alameda	Pedro	Gonzalez	Compliance Supervisor	510-784-2600	pg710@husd.k12.ca.us	6.8	Acres	2428	Sqft	95	4151-School Buses			San Francisco Bay	N	Y	Rosemary Rivas	Coordinator of Risk Management	25-JUN-20 03.50.29.136000 PM	N
Industrial	180617	2 01I000573	Terminated	03/16/1992	11/14/2003	2	Alameda	Coulter Steel & Forge Co 	Coulter Steel & Forge Co 	1494 67th St		Emeryville	CA	94608	37.84833	-122.29466	Alameda	Dante	Sambajon		510-420-3500		2	Acres		 	0	3462-Iron and Steel Forgings	3463-Nonferrous Forgings		San Francisco Bay						 
Industrial	180618	2 01I000574	Terminated	03/16/1992	05/31/2002	2	Alameda	Keep On Trucking 	Keep On Trucking 	370 8th Ave		Oakland	CA	94606	37.78913	-122.2581	Alameda	RICHARD	Padovani		5108936011		198670	SqFt		 		4214-Local Trucking with Storage			Oakland Estuary						 
Industrial	180619	2 01I000593	Terminated	03/16/1992	10/17/2000	2	Alameda	TIN Inc dba Temple Inland 	Inland Container 	37333 Cedar Blvd		Newark	CA	94560	37.53976	-122.0218	Alameda	William	Rankin		510-790-7432		20	Acres		 		2631-Paperboard Mills			San Francisco Bay						 
Industrial	180620	2 01I000625	Terminated	03/17/1992	06/03/2015	2	Alameda	Swissport Fueling Inc	Swissport Fueling Inc Port Oak	1 Edward White Way		Oakland	CA	94621	37.71466	-122.20372	Alameda	Joe	Kastelitz		510-577-4016		5	Acres		 		4581-Airports, Flying Fields, and Airport Terminal Services			San Francisco Bay						 
Industrial	180621	2 01I000669	Terminated	03/18/1992	08/15/2005	2	Alameda	Vonhof, Kenneth W 	All Import Auto Salvage 	1507 2nd St	810 THE ALAMEDA	Berkeley	CA	94710	37.87429	-122.30448	Alameda	Son	Nguyen		5105255132		0	SqFt	20000	Sqft	37	5015-Motor Vehicle Parts, Used			San Francisco Bay						 
